휘발유 최고가,경유 최고가
2198.0,2259.0
2197.0,2317.0
2259.0,2299.0
2259.0,2279.0
2385.0,2199.0
2199.0,2258.0
2228.0,2265.0
2149.0,2150.0
2278.0,2320.0
2228.0,2311.0
2199.0,2159.0
2248.0,2298.0
2151.0,2169.0
2338.0,2438.0
2175.0,2195.0
2249.0,2259.0
